article_id,title,url_category,uc_tags,search_eligible,mapping_method,token_estimate,source_url
ka44J000000gL2pQAE,Staying Safe in Jobs,Safely_Buying_Selling,UC-E,True,url_category,607,https://help.gumtree.com/s/safety?cat=Safely_Buying_Selling&article=Staying-Safe-in-our-Jobs-Category
ka44J000000gKzvQAE,What Information Can Be Seen When I Post?,Keeping_Your_Information_Safe,UC-E,True,url_category,419,https://help.gumtree.com/s/safety?cat=Keeping_Your_Information_Safe&article=What-Information-Can-Be-Seen-When-I-Post
ka44J000000gL21QAE,Posting Ads in Jobs,Category_Specific_Policies,UC-B|UC-FP,True,url_category,558,https://help.gumtree.com/s/policies?cat=Category_Specific_Policies&article=Jobs-Policies
ka44J000000TbcrQAC,How do I create a great ad in Community?,,UC-B,True,title_keyword,144,
ka44J000000gL5KQAU,How do I create a great ad in For Sale?,Creating_Ads,UC-B,True,url_category,526,https://help.gumtree.com/s/basics?cat=Creating_Ads&article=Creating-Effective-Ads
ka44J000000gL50QAE,How do I create a great ad in Motors?,Creating_Ads,UC-B,True,url_category,144,https://help.gumtree.com/s/basics?cat=Creating_Ads&article=Creating-Effective-Ads
ka44J000000gL5PQAU,How do I create a great ad in Property?,Creating_Ads,UC-B,True,url_category,144,https://help.gumtree.com/s/basics?cat=Creating_Ads&article=How-to-Post-an-Ad
ka44J000000gL5tQAE,How do I create a great ad in Services?,Creating_Ads,UC-B,True,url_category,144,https://help.gumtree.com/s/basics?cat=Creating_Ads&article=Creating-Effective-Ads
ka44J000000gL4MQAU,Getting it Right: Posting in For Sale,Creating_Ads,UC-B,True,url_category,694,https://help.gumtree.com/s/basics?cat=Creating_Ads&article=Creating-Effective-Ads
ka44J000000gL39QAE,Getting it Right: Posting in Jobs,Creating_Ads,UC-B,True,url_category,650,https://help.gumtree.com/s/basics?cat=Creating_Ads&article=Creating-Effective-Ads
ka44J000000gL2kQAE,Getting it Right: Posting in Motors,,UC-B,True,title_keyword,861,https://www.gumtree.com/content/inside-track/car-seller/how-to-create-car-ad/
ka44J000000gL1NQAU,Getting it right: Posting in Pets,Pets_Policies,UC-B|UC-FP,True,url_category,784,https://help.gumtree.com/s/policies?cat=Pets_Policies&article=Pets-Policies
ka44J000000gL4HQAU,Getting it Right: Posting in Property,Category_Specific_Policies,UC-B|UC-FP,True,url_category,541,https://help.gumtree.com/s/policies?cat=Category_Specific_Policies&article=Property-Policies
